759,130027796,1732262707.758076,'Right',-155.38848109497977,104.745178,,,
760,130036185,1732262707.766954,'Right',-154.81687148301816,101.861473,,,
761,130069873,1732262707.808969,'Right',-156.4613395097578,102.338737,,,
762,130079698,1732262707.813271,'Right',-155.41718470917002,102.334465,,,
763,130088963,1732262707.820904,'Right',-154.8548044695236,103.130547,,,
764,130096457,1732262707.827567,'Left',141.59762651412677,-80.063492,'Right',-154.71493008565284,103.857025
765,130103501,1732262707.833995,'Left',136.81217079657608,-78.778084,'Right',-155.01161978680778,105.425461
766,130111702,1732262707.842074,'Left',134.0438103624925,-76.513405,'Right',-154.85320441896286,106.672897
767,130119912,1732262707.850143,'Left',132.82583369836485,-75.670326,'Right',-154.02458555794738,108.017441
768,130128259,1732262707.859409,'Left',131.89486192960675,-75.404015,'Right',-154.4257004727493,109.613380
769,130136997,1732262707.867950,'Left',130.72603033502094,-75.198853,'Right',-154.44223268663595,111.321747
770,130145236,1732262707.875954,'Left',129.7688972139936,-75.433701,'Right',-156.06900166065944,112.719978
771,130153421,1732262707.884043,'Left',129.4284642485085,-75.796249,'Right',-157.1145640994111,113.915092
772,130161893,1732262707.892767,'Left',129.0300786884495,-76.509583,'Right',-157.06960371454804,115.151848
773,130170183,1732262707.900567,'Left',128.8985057657294,-77.575020,'Right',-157.88357097202942,116.643951
774,130178541,1732262707.909647,'Left',128.78353817201088,-79.057602,'Right',-159.16439481756663,118.420738
775,130187205,1732262707.918487,'Left',129.01386155237404,-80.672523,'Right',-159.74589036189823,120.438499
776,130195382,1732262707.926464,'Left',129.4296780356818,-82.749100,'Right',-160.43249363203617,122.248428
777,130203881,1732262707.935599,'Left',129.53296338189253,-85.396736,'Right',-161.91414991534828,124.525444
778,130212147,1732262707.944016,'Left',129.70966956980422,-88.665085,'Right',-163.5880865395281,126.701698
779,130220537,1732262707.950977,'Left',129.58804431479044,-92.058205,'Right',-164.1093540132157,129.169327
780,130229116,1732262707.960332,'Left',129.01558835486887,-96.321320,'Right',-164.765834048031,132.093292
781,130237164,1732262707.967563,'Left',128.80100078577775,-100.707870,'Right',-166.0426319587918,134.606613
782,130245540,1732262707.975827,'Left',128.12593329517796,-105.667404,'Right',-167.10492819639094,136.900360
783,130254034,1732262707.984366,'Left',127.64485606378578,-111.102905,'Right',-169.2633851004519,138.835938
784,130262312,1732262707.993865,'Left',127.1704359252147,-117.106354,'Right',-170.33913914885895,140.703644
785,130271105,1732262708.001745,'Left',127.02832471478831,-122.936630,'Right',-171.03543577973562,142.617554
786,130279192,1732262708.009461,'Left',126.81680482398471,-129.364090,'Right',-172.11245681997715,144.095062
787,130287472,1732262708.017419,'Left',126.72605758200234,-136.054398,'Right',-174.3375814631791,146.132050
788,130295899,1732262708.026482,'Left',127.32919840271049,-142.517029,'Right',-176.38856378326457,148.677612
789,130304180,1732262708.034754,'Left',127.61187237102409,-148.657837,'Right',-177.6995077734313,151.435272
790,130312898,1732262708.044146,'Left',128.55153158350873,-155.133682,'Right',-178.74640975253934,153.779251
791,130320887,1732262708.052581,'Left',129.2106520980461,-161.286987,'Right',-179.8183825815379,156.515503
792,130329679,1732262708.060341,'Left',130.44437042157497,-167.669617,'Right',-179.9197674555523,159.665298
793,130337669,1732262708.067855,'Left',131.0452437536081,-173.670822,'Right',179.82499267623268,162.889618
794,130346451,1732262708.077031,'Left',132.1085107956945,-180.190704,'Right',179.17527827790434,166.271378
795,130354558,1732262708.085550,'Left',133.6062963360227,-186.336166,'Right',178.0475091344776,169.139755
796,130363167,1732262708.094228,'Left',134.4477495436484,-192.516373,'Right',176.61658000478735,171.707123
797,130371290,1732262708.101606,'Left',135.3605439873198,-198.346329,'Right',174.74881253144113,173.811768
798,130379603,1732262708.109956,'Left',136.9246602216037,-203.887787,'Right',173.3857814295208,175.952774
